cluster_id	step_id	algorithm	machine_type	instance_count	args	gross_runtime	net_runtime
j-103E5JB3N6LBK	s-2M44TM5E1VEBP	PageRank	m4.xlarge	12	['s3://c3othesis/data/graph_uniform_5mx10m', '0.001']	298.0	273.1889998912811
j-1042W8U18ZLX6	s-19BMWYPE7OO9I	Sort	m4.2xlarge	12	['s3://c3othesis/data/lines_100mx100', 'out']	38.0	
j-109A3IB5GS3DW	s-1I964HJT05IPF	Grep	m4.2xlarge	10	['s3://c3othesis/data/text_112500k_150mx100', 'Computer', 'out']	156.0	132.7720000743866
j-10QI7IGA862R5	s-UBGFKFLO5E2P	Sort	c4.2xlarge	6	['s3://c3othesis/data/lines_100mx100', 'out8507473']	158.0	137.12199997901917
j-10QI7IGA862R5	s-17MSYISCZ4X57	Sort	c4.2xlarge	6	['s3://c3othesis/data/lines_100mx100', 'out8591541']	162.0	141.32399988174438
j-10QI7IGA862R5	s-1CELUVPBJEBCZ	Sort	c4.2xlarge	6	['s3://c3othesis/data/lines_100mx100', 'out5751519']	156.0	140.2369999885559
j-10QI7IGA862R5	s-2W0TNL4R5R6ZT	Sort	c4.2xlarge	6	['s3://c3othesis/data/lines_100mx100', 'out3849509']	158.0	142.02600002288818
j-10QI7IGA862R5	s-WTD0B7DOSZO6	Sort	c4.2xlarge	6	['s3://c3othesis/data/lines_100mx100', 'out1580249']	160.0	142.62700009346008
j-10QI7IGA862R5	s-2XZY41Y6WSIJA	Sort	c4.2xlarge	6	['s3://c3othesis/data/lines_120mx100', 'out8426628']	182.0	164.742999792099
j-10QI7IGA862R5	s-28J1L6BER5WLW	Sort	c4.2xlarge	6	['s3://c3othesis/data/lines_120mx100', 'out2412632']	186.0	168.04199981689453
j-10QI7IGA862R5	s-1UGSOYLP6C1LZ	Sort	c4.2xlarge	6	['s3://c3othesis/data/lines_120mx100', 'out8322355']	186.0	169.2189998626709
j-10QI7IGA862R5	s-IDZV6QRNJX5S	Sort	c4.2xlarge	6	['s3://c3othesis/data/lines_120mx100', 'out9450365']	182.0	165.21799993515015
j-10QI7IGA862R5	s-1FPNV65MJATIP	Sort	c4.2xlarge	6	['s3://c3othesis/data/lines_120mx100', 'out3345183']	188.0	170.4869999885559
j-10QI7IGA862R5	s-15PU9QH90LICG	Sort	c4.2xlarge	6	['s3://c3othesis/data/lines_140mx100', 'out6288809']	218.0	194.38199996948242
j-10QI7IGA862R5	s-2F6S3FFG2N2MT	Sort	c4.2xlarge	6	['s3://c3othesis/data/lines_140mx100', 'out2237316']	212.0	194.88299989700317
j-10QI7IGA862R5	s-3TXL8R6L4X082	Sort	c4.2xlarge	6	['s3://c3othesis/data/lines_140mx100', 'out6312704']	212.0	193.0970001220703
j-10QI7IGA862R5	s-33JUBB1P439RY	Sort	c4.2xlarge	6	['s3://c3othesis/data/lines_140mx100', 'out6956393']	212.0	194.36699986457825
j-10QI7IGA862R5	s-6OLZQEBQXMJW	Sort	c4.2xlarge	6	['s3://c3othesis/data/lines_140mx100', 'out9079212']	212.0	194.73600006103516
j-10QI7IGA862R5	s-1CY29I1PBVB3	Sort	c4.2xlarge	6	['s3://c3othesis/data/lines_160mx100', 'out3475428']	236.0	218.21900010108948
j-10QI7IGA862R5	s-3SLV83TCPEM4W	Sort	c4.2xlarge	6	['s3://c3othesis/data/lines_160mx100', 'out7025926']	234.0	216.8289999961853
j-10QI7IGA862R5	s-3IG880TPUFM4Z	Sort	c4.2xlarge	6	['s3://c3othesis/data/lines_160mx100', 'out3486875']	264.0	247.79299998283386
j-10QI7IGA862R5	s-25KFDZLF6NDQ9	Sort	c4.2xlarge	6	['s3://c3othesis/data/lines_160mx100', 'out2639547']	2606.0	
j-116C2MKCTBDNL	s-3EPPMOUZY17O8	KMeans	r4.2xlarge	8	['s3://c3othesis/data/blobs_3_100mx5', '3', '5']	144.0	121.69400000572205
